"focalAOU","Focal","FocalSciName","CompAOU","Competitor","CompSciName","Family","mainCompetitor"
4520,"Great Crested Flycatcher","Myiarchus crinitus",4560,"Eastern Phoebe","Sayornis phoebe","Tyrannidae",0
4520,"Great Crested Flycatcher","Myiarchus crinitus",4570,"Say's Phoebe","Sayornis saya","Tyrannidae",0
4520,"Great Crested Flycatcher","Myiarchus crinitus",4580,"Black Phoebe","Sayornis nigricans","Tyrannidae",0
4520,"Great Crested Flycatcher","Myiarchus crinitus",4590,"Olive-sided Flycatcher","Contopus cooperi","Tyrannidae",0
4540,"Ash-throated Flycatcher","Myiarchus cinerascens",4570,"Say's Phoebe","Sayornis saya","Tyrannidae",1
4540,"Ash-throated Flycatcher","Myiarchus cinerascens",4480,"Cassin's Kingbird","Tyrannus vociferans","Tyrannidae",0
4560,"Eastern Phoebe","Sayornis phoebe",4520,"Great Crested Flycatcher","Myiarchus crinitus","Tyrannidae",1
4560,"Eastern Phoebe","Sayornis phoebe",4460,"Tropical Kingbird","Tyrannus melancholicus","Tyrannidae",0
4560,"Eastern Phoebe","Sayornis phoebe",4470,"Western Kingbird","Tyrannus verticalis","Tyrannidae",0
4560,"Eastern Phoebe","Sayornis phoebe",4540,"Ash-throated Flycatcher","Myiarchus cinerascens","Tyrannidae",0
4560,"Eastern Phoebe","Sayornis phoebe",4570,"Say's Phoebe","Sayornis saya","Tyrannidae",0
4560,"Eastern Phoebe","Sayornis phoebe",4580,"Black Phoebe","Sayornis nigricans","Tyrannidae",0
4560,"Eastern Phoebe","Sayornis phoebe",4590,"Olive-sided Flycatcher","Contopus cooperi","Tyrannidae",0
4560,"Eastern Phoebe","Sayornis phoebe",4610,"Eastern Wood-Pewee","Contopus virens","Tyrannidae",0
4560,"Eastern Phoebe","Sayornis phoebe",4620,"Western Wood-Pewee","Contopus sordidulus","Tyrannidae",0
4560,"Eastern Phoebe","Sayornis phoebe",4630,"Yellow-bellied Flycatcher","Empidonax flaviventris","Tyrannidae",0
4560,"Eastern Phoebe","Sayornis phoebe",4640,"Cordilleran Flycatcher","Empidonax occidentalis","Tyrannidae",0
4560,"Eastern Phoebe","Sayornis phoebe",4650,"Acadian Flycatcher","Empidonax virescens","Tyrannidae",0
4560,"Eastern Phoebe","Sayornis phoebe",4660,"Willow Flycatcher","Empidonax traillii","Tyrannidae",0
4560,"Eastern Phoebe","Sayornis phoebe",4661,"Alder Flycatcher","Empidonax alnorum","Tyrannidae",0
4560,"Eastern Phoebe","Sayornis phoebe",4670,"Least Flycatcher","Empidonax minimus","Tyrannidae",0
4560,"Eastern Phoebe","Sayornis phoebe",4680,"Hammond's Flycatcher","Empidonax hammondii","Tyrannidae",0
4560,"Eastern Phoebe","Sayornis phoebe",4710,"Vermilion Flycatcher","Pyrocephalus rubinus","Tyrannidae",0
4570,"Say's Phoebe","Sayornis saya",4470,"Western Kingbird","Tyrannus verticalis","Tyrannidae",1
4570,"Say's Phoebe","Sayornis saya",4540,"Ash-throated Flycatcher","Myiarchus cinerascens","Tyrannidae",0
4580,"Black Phoebe","Sayornis nigricans",4710,"Vermilion Flycatcher","Pyrocephalus rubinus","Tyrannidae",1
4590,"Olive-sided Flycatcher","Contopus cooperi",4470,"Western Kingbird","Tyrannus verticalis","Tyrannidae",1
4610,"Eastern Wood-Pewee","Contopus virens",4560,"Eastern Phoebe","Sayornis phoebe","Tyrannidae",1
4610,"Eastern Wood-Pewee","Contopus virens",4540,"Ash-throated Flycatcher","Myiarchus cinerascens","Tyrannidae",0
4610,"Eastern Wood-Pewee","Contopus virens",4570,"Say's Phoebe","Sayornis saya","Tyrannidae",0
4610,"Eastern Wood-Pewee","Contopus virens",4580,"Black Phoebe","Sayornis nigricans","Tyrannidae",0
4610,"Eastern Wood-Pewee","Contopus virens",4620,"Western Wood-Pewee","Contopus sordidulus","Tyrannidae",0
4610,"Eastern Wood-Pewee","Contopus virens",4630,"Yellow-bellied Flycatcher","Empidonax flaviventris","Tyrannidae",0
4610,"Eastern Wood-Pewee","Contopus virens",4650,"Acadian Flycatcher","Empidonax virescens","Tyrannidae",0
